City,Day and Time,Temperature *F,Description
Miami,June 19 at 06 AM,82.56,light rain
Miami,June 19 at 09 AM,81.7,light rain
Miami,June 19 at 12 PM,83.89,light rain
Miami,June 19 at 03 PM,90.39,light rain
Miami,June 19 at 06 PM,88.84,light rain
City,Day and Time,Temperature *F,Description
Columbus,June 19 at 06 AM,69.42,light rain
Columbus,June 19 at 09 AM,71.56,light rain
Columbus,June 19 at 12 PM,71.26,light rain
Columbus,June 19 at 03 PM,69.39,light rain
Columbus,June 19 at 06 PM,69.46,light rain
